Year,Date,Time,Round,Stadium,City,Country,HomeTeam,HomeGoals,AwayGoals,AwayTeam,Observation,Match Winner,Total Goals
1930,1930-07-13, 15:00 ,Group 1,Pocitos,Montevideo ,Uruguay,France,4,1,Mexico, ,France,5
1930,1930-07-13, 15:00 ,Group 4,Parque Central,Montevideo ,Uruguay,USA,3,0,Belgium, ,USA,3
1930,1930-07-14, 12:45 ,Group 2,Parque Central,Montevideo ,Uruguay,Yugoslavia,2,1,Brazil, ,Yugoslavia,3
1930,1930-07-14, 14:50 ,Group 3,Pocitos,Montevideo ,Uruguay,Romania,3,1,Peru, ,Romania,4
1930,1930-07-15, 16:00 ,Group 1,Parque Central,Montevideo ,Uruguay,Argentina,1,0,France, ,Argentina,1
1930,1930-07-16, 14:45 ,Group 1,Parque Central,Montevideo ,Uruguay,Chile,3,0,Mexico, ,Chile,3
1930,1930-07-17, 12:45 ,Group 2,Parque Central,Montevideo ,Uruguay,Yugoslavia,4,0,Bolivia, ,Yugoslavia,4
1930,1930-07-17, 14:45 ,Group 4,Parque Central,Montevideo ,Uruguay,USA,3,0,Paraguay, ,USA,3
1930,1930-07-18, 14:30 ,Group 3,Estadio Centenario,Montevideo ,Uruguay,Uruguay,1,0,Peru, ,Uruguay,1
1930,1930-07-19, 12:50 ,Group 1,Estadio Centenario,Montevideo ,Uruguay,Chile,1,0,France, ,Chile,1
1930,1930-07-19, 15:00 ,Group 1,Estadio Centenario,Montevideo ,Uruguay,Argentina,6,3,Mexico, ,Argentina,9
1930,1930-07-20, 13:00 ,Group 2,Estadio Centenario,Montevideo ,Uruguay,Brazil,4,0,Bolivia, ,Brazil,4
1930,1930-07-20, 15:00 ,Group 4,Estadio Centenario,Montevideo ,Uruguay,Paraguay,1,0,Belgium, ,Paraguay,1
1930,1930-07-21, 14:50 ,Group 3,Estadio Centenario,Montevideo ,Uruguay,Uruguay,4,0,Romania, ,Uruguay,4
1930,1930-07-22, 14:45 ,Group 1,Estadio Centenario,Montevideo ,Uruguay,Argentina,3,1,Chile, ,Argentina,4
1930,1930-07-26, 14:45 ,Semi-finals,Estadio Centenario,Montevideo ,Uruguay,Argentina,6,1,USA, ,Argentina,7
1930,1930-07-27, 14:45 ,Semi-finals,Estadio Centenario,Montevideo ,Uruguay,Uruguay,6,1,Yugoslavia, ,Uruguay,7
1930,1930-07-30, 14:15 ,Final,Estadio Centenario,Montevideo ,Uruguay,Uruguay,4,2,Argentina, ,Uruguay,6
1934,1934-05-27, 16:30 ,Preliminary round,Stadio Benito Mussolini,Turin ,Italy,Austria,3,2,France,Austria win after extra time ,Austria,5
1934,1934-05-27, 16:30 ,Preliminary round,Giorgio Ascarelli,Naples ,Italy,Hungary,4,2,Egypt, ,Hungary,6
1934,1934-05-27, 16:30 ,Preliminary round,San Siro,Milan ,Italy,Switzerland,3,2,Netherlands, ,Switzerland,5
1934,1934-05-27, 16:30 ,Preliminary round,Littorale,Bologna ,Italy,Sweden,3,2,Argentina, ,Sweden,5
1934,1934-05-27, 16:30 ,Preliminary round,Giovanni Berta,Florence ,Italy,Germany,5,2,Belgium, ,Germany,7
1934,1934-05-27, 16:30 ,Preliminary round,Luigi Ferraris,Genoa ,Italy,Spain,3,1,Brazil, ,Spain,4
1934,1934-05-27, 16:30 ,Preliminary round,Nazionale PNF,Rome ,Italy,Italy,7,1,USA, ,Italy,8
1934,1934-05-27, 16:30 ,Preliminary round,Littorio,Trieste ,Italy,Czechoslovakia,2,1,Romania, ,Czechoslovakia,3
1934,1934-05-31, 16:30 ,Quarter-finals,Stadio Benito Mussolini,Turin ,Italy,Czechoslovakia,3,2,Switzerland, ,Czechoslovakia,5
1934,1934-05-31, 16:30 ,Quarter-finals,San Siro,Milan ,Italy,Germany,2,1,Sweden, ,Germany,3
1934,1934-05-31, 16:30 ,Quarter-finals,Giovanni Berta,Florence ,Italy,Italy,1,1,Spain, ,Draw,2
1934,1934-05-31, 16:30 ,Quarter-finals,Littorale,Bologna ,Italy,Austria,2,1,Hungary, ,Austria,3
1934,1934-06-01, 16:30 ,Quarter-finals,Giovanni Berta,Florence ,Italy,Italy,1,0,Spain, ,Italy,1
1934,1934-06-03, 16:30 ,Semi-finals,San Siro,Milan ,Italy,Italy,1,0,Austria, ,Italy,1
1934,1934-06-03, 16:30 ,Semi-finals,Nazionale PNF,Rome ,Italy,Czechoslovakia,3,1,Germany, ,Czechoslovakia,4
1934,1934-06-07, 18:00 ,Match for third place,Giorgio Ascarelli,Naples ,Italy,Germany,3,2,Austria, ,Germany,5
1934,1934-06-10, 17:30 ,Final,Nazionale PNF,Rome ,Italy,Italy,2,1,Czechoslovakia,Italy win after extra time ,Italy,3
1938,1938-06-04, 17:00 ,First round,Parc des Princes,Paris ,France,Switzerland,1,1,Germany, ,Draw,2
1938,1938-06-05, 17:00 ,First round,Velodrome Municipale,Reims ,France,Hungary,6,0,Dutch East Indies, ,Hungary,6
1938,1938-06-05, 17:00 ,First round,Stade Olympique,Colombes ,France,France,3,1,Belgium, ,France,4
1938,1938-06-05, 17:00 ,First round,Stade Municipal,Toulouse ,France,Cuba,3,3,Romania, ,Draw,6
1938,1938-06-05, 17:00 ,First round,Stade Vï¿½lodrome,Marseilles ,France,Italy,2,1,Norway,Italy win after extra time ,Italy,3
1938,1938-06-05, 17:30 ,First round,Stade de la Meinau,Strasbourg ,France,Brazil,6,5,Poland,Brazil win after extra time ,Brazil,11
1938,1938-06-05, 18:30 ,First round,Cavee Verte,Le Havre ,France,Czechoslovakia,3,0,Netherlands,Czechoslovakia win after extra time ,Czechoslovakia,3
1938,1938-06-09, 18:00 ,First round,Stade Municipal,Toulouse ,France,Cuba,2,1,Romania, ,Cuba,3
1938,1938-06-09, 18:00 ,First round,Parc des Princes,Paris ,France,Switzerland,4,2,Germany, ,Switzerland,6
1938,1938-06-12, 17:00 ,Quarter-finals,Stade du Parc Lescure,Bordeaux ,France,Brazil,1,1,Czechoslovakia, ,Draw,2
1938,1938-06-12, 17:00 ,Quarter-finals,Victor Boucquey,Lille ,France,Hungary,2,0,Switzerland, ,Hungary,2
1938,1938-06-12, 17:00 ,Quarter-finals,Fort Carree,Antibes ,France,Sweden,8,0,Cuba, ,Sweden,8
1938,1938-06-12, 17:00 ,Quarter-finals,Stade Olympique,Colombes ,France,Italy,3,1,France, ,Italy,4
1938,1938-06-14, 18:00 ,Quarter-finals,Stade du Parc Lescure,Bordeaux ,France,Brazil,2,1,Czechoslovakia, ,Brazil,3
1938,1938-06-16, 18:00 ,Semi-finals,Parc des Princes,Paris ,France,Hungary,5,1,Sweden, ,Hungary,6
1938,1938-06-16, 18:00 ,Semi-finals,Stade Vï¿½lodrome,Marseilles ,France,Italy,2,1,Brazil, ,Italy,3
1938,1938-06-19, 17:00 ,Match for third place,Stade du Parc Lescure,Bordeaux ,France,Brazil,4,2,Sweden, ,Brazil,6
1938,1938-06-19, 17:00 ,Final,Stade Olympique,Colombes ,France,Italy,4,2,Hungary, ,Italy,6
1950,1950-06-24, 15:00 ,Group 1,Maracanï¿½ - Estï¿½dio Jornalista Mï¿½rio Filho,Rio De Janeiro ,Brazil,Brazil,4,0,Mexico, ,Brazil,4
1950,1950-06-25, 15:00 ,Group 2,Maracanï¿½ - Estï¿½dio Jornalista Mï¿½rio Filho,Rio De Janeiro ,Brazil,England,2,0,Chile, ,England,2
1950,1950-06-25, 15:00 ,Group 2,Durival de Brito,Curitiba ,Brazil,Spain,3,1,USA, ,Spain,4
1950,1950-06-25, 15:00 ,Group 3,Pacaembu,Sao Paulo ,Brazil,Sweden,3,2,Italy, ,Sweden,5
1950,1950-06-25, 15:00 ,Group 1,Independencia,Belo Horizonte ,Brazil,Yugoslavia,3,0,Switzerland, ,Yugoslavia,3
1950,1950-06-28, 15:00 ,Group 1,Pacaembu,Sao Paulo ,Brazil,Brazil,2,2,Switzerland, ,Draw,4
1950,1950-06-28, 15:00 ,Group 1,Eucaliptos,Porto Alegre ,Brazil,Yugoslavia,4,1,Mexico, ,Yugoslavia,5
1950,1950-06-29, 15:00 ,Group 2,Maracanï¿½ - Estï¿½dio Jornalista Mï¿½rio Filho,Rio De Janeiro ,Brazil,Spain,2,0,Chile, ,Spain,2
1950,1950-06-29, 15:30 ,Group 3,Durival de Brito,Curitiba ,Brazil,Sweden,2,2,Paraguay, ,Draw,4
1950,1950-06-29, 15:00 ,Group 2,Independencia,Belo Horizonte ,Brazil,USA,1,0,England, ,USA,1
1950,1950-07-01, 15:00 ,Group 1,Maracanï¿½ - Estï¿½dio Jornalista Mï¿½rio Filho,Rio De Janeiro ,Brazil,Brazil,2,0,Yugoslavia, ,Brazil,2
1950,1950-07-02, 15:00 ,Group 2,Maracanï¿½ - Estï¿½dio Jornalista Mï¿½rio Filho,Rio De Janeiro ,Brazil,Spain,1,0,England, ,Spain,1
1950,1950-07-02, 15:00 ,Group 3,Pacaembu,Sao Paulo ,Brazil,Italy,2,0,Paraguay, ,Italy,2
1950,1950-07-02, 15:00 ,Group 4,Independencia,Belo Horizonte ,Brazil,Uruguay,8,0,Bolivia, ,Uruguay,8
1950,1950-07-02, 15:40 ,Group 1,Eucaliptos,Porto Alegre ,Brazil,Switzerland,2,1,Mexico, ,Switzerland,3
1950,1950-07-02, 15:00 ,Group 2,Ilha do Retiro,Recife ,Brazil,Chile,5,2,USA, ,Chile,7
1950,1950-07-09, 15:00 ,Group 6,Pacaembu,Sao Paulo ,Brazil,Uruguay,2,2,Spain, ,Draw,4
1950,1950-07-09, 15:00 ,Group 6,Maracanï¿½ - Estï¿½dio Jornalista Mï¿½rio Filho,Rio De Janeiro ,Brazil,Brazil,7,1,Sweden, ,Brazil,8
1950,1950-07-13, 15:00 ,Group 6,Maracanï¿½ - Estï¿½dio Jornalista Mï¿½rio Filho,Rio De Janeiro ,Brazil,Brazil,6,1,Spain, ,Brazil,7
1950,1950-07-13, 15:00 ,Group 6,Pacaembu,Sao Paulo ,Brazil,Uruguay,3,2,Sweden, ,Uruguay,5
1950,1950-07-16, 15:00 ,Group 6,Pacaembu,Sao Paulo ,Brazil,Sweden,3,1,Spain, ,Sweden,4
1950,1950-07-16, 15:00 ,Group 6,Maracanï¿½ - Estï¿½dio Jornalista Mï¿½rio Filho,Rio De Janeiro ,Brazil,Uruguay,2,1,Brazil, ,Uruguay,3
1954,1954-06-16, 18:00 ,Group 3,Wankdorf Stadium,Berne ,Switzerland,Uruguay,2,0,Czechoslovakia, ,Uruguay,2
1954,1954-06-16, 18:00 ,Group 3,Hardturm,Zurich ,Switzerland,Austria,1,0,Scotland, ,Austria,1
1954,1954-06-16, 18:00 ,Group 1,Charmilles,Geneva ,Switzerland,Brazil,5,0,Mexico, ,Brazil,5
1954,1954-06-16, 18:00 ,Group 1,La Pontaise,Lausanne ,Switzerland,Yugoslavia,1,0,France, ,Yugoslavia,1
1954,1954-06-17, 18:00 ,Group 2,Wankdorf Stadium,Berne ,Switzerland,Germany,4,1,Turkey, ,Germany,5
1954,1954-06-17, 18:00 ,Group 2,Hardturm,Zurich ,Switzerland,Hungary,9,0,Korea Republic, ,Hungary,9
1954,1954-06-17, 18:10 ,Group 4,St. Jakob,Basel ,Switzerland,England,4,4,Belgium, ,Draw,8
1954,1954-06-17, 17:50 ,Group 4,La Pontaise,Lausanne ,Switzerland,Switzerland,2,1,Italy, ,Switzerland,3
1954,1954-06-19, 16:50 ,Group 3,St. Jakob,Basel ,Switzerland,Uruguay,7,0,Scotland, ,Uruguay,7
1954,1954-06-19, 17:00 ,Group 3,Hardturm,Zurich ,Switzerland,Austria,5,0,Czechoslovakia, ,Austria,5
1954,1954-06-19, 17:10 ,Group 1,Charmilles,Geneva ,Switzerland,France,3,2,Mexico, ,France,5
1954,1954-06-19, 17:00 ,Group 1,La Pontaise,Lausanne ,Switzerland,Brazil,1,1,Yugoslavia, ,Draw,2
1954,1954-06-20, 16:50 ,Group 2,St. Jakob,Basel ,Switzerland,Hungary,8,3,Germany, ,Hungary,11
1954,1954-06-20, 17:00 ,Group 2,Charmilles,Geneva ,Switzerland,Turkey,7,0,Korea Republic, ,Turkey,7
1954,1954-06-20, 17:10 ,Group 4,Wankdorf Stadium,Berne ,Switzerland,England,2,0,Switzerland, ,England,2
1954,1954-06-20, 17:00 ,Group 4,Comunale di Cornaredo,Lugano ,Switzerland,Italy,4,1,Belgium, ,Italy,5
1954,1954-06-23, 18:00 ,Group 2,Hardturm,Zurich ,Switzerland,Germany,7,2,Turkey, ,Germany,9
1954,1954-06-23, 18:00 ,Group 4,St. Jakob,Basel ,Switzerland,Switzerland,4,1,Italy, ,Switzerland,5
1954,1954-06-26, 17:00 ,Quarter-finals,St. Jakob,Basel ,Switzerland,Uruguay,4,2,England, ,Uruguay,6
1954,1954-06-26, 17:00 ,Quarter-finals,La Pontaise,Lausanne ,Switzerland,Austria,7,5,Switzerland, ,Austria,12
1954,1954-06-27, 17:00 ,Quarter-finals,Charmilles,Geneva ,Switzerland,Germany,2,0,Yugoslavia, ,Germany,2
1954,1954-06-27, 17:00 ,Quarter-finals,Wankdorf Stadium,Berne ,Switzerland,Hungary,4,2,Brazil, ,Hungary,6
